,formula,k_expt,k-units,k_condition,k_condition_units
0,BeS,157.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
1,CdS,19.9,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
2,GaN,181.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
3,ZnO,64.5,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
4,ZnSe,15.6,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
5,BAs,2940.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
6,ZnO,64.5,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
7,BeO,447.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
8,GaAs,32.1,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
9,SiC,372.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
10,ZnS,36.5,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
11,GaP,104.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
12,BeO,447.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
13,InAs,25.2,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
14,CuBr,2.75,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
15,InP,85.2,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
16,ZnTe,18.9,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
17,CuI,7.1,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
18,CuI,7.1,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
19,GaSb,32.5,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
20,MgTe,14.7,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
21,CuCl,1.26,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
22,AlSb,77.4,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
23,GaN,181.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
24,AgI,2.44,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
25,AlN,235.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
26,AlP,84.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
27,InSb,13.8,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
28,BeTe,90.4,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
29,CdTe,6.67,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
30,CdSe,11.4,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
31,CuCl,1.26,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
32,CdS,19.9,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
33,BP,420.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
34,SiC,372.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
35,BeSe,108.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
36,AlN,235.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
37,CuH,14.4,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
38,CuBr,2.75,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
39,InN,105.0,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
40,AgI,2.44,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
41,AlAs,86.8,W/m.K,room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'room temperature'}]}]"
42,Ti0.99Nb0.01NiSn,5.8617,W/m$\cdot$K,400,K
43,Cu1.98Se,1.015,W/m$\cdot$K,1000,K
44,Bi2Te3,4.016716418,W/m$\cdot$K,300,K
45,Cr1.3Mo6S8,2.6905,W/m$\cdot$K,700,K
46,Bi1.2S1.2Ti2S4,2.94,W/m$\cdot$K,300,K
47,Ba0.4Sr0.6PbO3,2.2948,W/m$\cdot$K,300,K
48,SrTi0.8Nb0.2O3,8.62,W/m$\cdot$K,400,K
49,Mg2Si0.997Bi0.003,6.16,W/m$\cdot$K,300,K
50,Zn4Sb3,0.75,W/m$\cdot$K,400,K
51,Tl0.01Pb0.99Te,1.55169,W/m$\cdot$K,400,K
52,KBi6.33S10,1.3,W/m$\cdot$K,300,K
53,Pb1.8S1.8Ti2S4,2.51,W/m$\cdot$K,400,K
54,La2.74Te4,1.0,W/m$\cdot$K,700,K
55,In0.2Co4Sb12,2.4757700000000002,W/m$\cdot$K,300,K
56,Ba7SrAl16Si30,2.46,W/m$\cdot$K,700,K
57,CuCr0.96Mg0.04O2,6.8542,W/m$\cdot$K,1000,K
58,Tl2GeTe5,9.07,W/m$\cdot$K,300,K
59,Zn0.9975Al0.0025O,1.9089,W/m$\cdot$K,1000,K
60,Mo3Te4,3.81187,W/m$\cdot$K,300,K
61,SrDy0.08Ti0.92O3,4.195,W/m$\cdot$K,300,K
62,Ca0.9Ho0.1MnO3,1.518351106,W/m$\cdot$K,700,K
63,Zn0.98Al0.02O,27.2,W/m$\cdot$K,400,K
64,Ni2.0Mo6S8,4.2372,W/m$\cdot$K,700,K
65,In1.994Ge0.006O3,9.71545,W/m$\cdot$K,300,K
66,Sr3Ti1.6Nb0.4O7,2.14,W/m$\cdot$K,1000,K
67,La3Te3.35Bi0.65,1.56,W/m$\cdot$K,700,K
68,Zn0.9975Al0.0025O,2.283,W/m$\cdot$K,700,K
69,Ca3AlSb3,0.6920000000000001,W/m$\cdot$K,1000,K
70,La2.99Te4,2.84,W/m$\cdot$K,700,K
71,WO2.9,3.0834,W/m$\cdot$K,300,K
72,SrNd0.2Ti0.8O3,5.53,W/m$\cdot$K,300,K
73,La3Te3.8Sb0.2,2.58,W/m$\cdot$K,400,K
74,Mg2Si0.993Bi0.007,5.68,W/m$\cdot$K,400,K
75,Sr0.61Ba0.39Nb2O6,2.0205,W/m$\cdot$K,400,K
76,TiNiSn,6.0761,W/m$\cdot$K,300,K
77,In1.8Ge0.2O3,2.61135,W/m$\cdot$K,400,K
78,Fe1.96Ti0.04O3,7.82,W/m$\cdot$K,300,K
79,Mg2Si0.999Bi0.001,3.66,W/m$\cdot$K,700,K
80,Ti0.99Nb0.01NiSn,6.8928,W/m$\cdot$K,300,K
81,Ni2.0Mo6S8,5.9752,W/m$\cdot$K,1000,K
82,In1.998Ge0.002O3,6.85319,W/m$\cdot$K,400,K
83,Zr0.5Hf0.5NiSn1.994Sb0.006,2.9636601039999997,W/m$\cdot$K,700,K
84,CeFe3CoSb12,1.91,W/m$\cdot$K,300,K
85,Ca0.96Bi0.04Mn0.96Nb0.04O3,2.16005,W/m$\cdot$K,400,K
86,Mg2Si0.994Bi0.006,6.55,W/m$\cdot$K,300,K
87,Zn0.98Al0.02O,7.92,W/m$\cdot$K,1000,K
88,CuRh0.9Mg0.1O2,9.76717,W/m$\cdot$K,400,K
89,SrNb0.15Ti0.85O3,3.49,W/m$\cdot$K,700,K
90,Li0.0066Ni0.9944O,8.32761,W/m$\cdot$K,400,K
91,Ca5Al2Sb6,1.23,W/m$\cdot$K,400,K
92,BaPbO3,4.15607,W/m$\cdot$K,400,K
93,CaGd0.94Mn0.06O3,2.1394,W/m$\cdot$K,700,K
94,Pb1.8S1.8Ti2S4,1.95,W/m$\cdot$K,700,K
95,Ba8Au5.14Si39.51,2.45,W/m$\cdot$K,700,K
96,Sr3Ti1.6Nb0.4O7,3.89,W/m$\cdot$K,400,K
97,Ca2.97Na0.03AlSb3,0.67,W/m$\cdot$K,1000,K
98,Ca3AlSb3,0.745,W/m$\cdot$K,700,K
99,Mg2Si0.6Ge0.4Ag0.02,3.09,W/m$\cdot$K,400,K
100,LaFe3CoSb12,1.6,W/m$\cdot$K,400,K
101,Mg2Si0.98Bi0.02,2.75,W/m$\cdot$K,1000,K
102,Mg2Si,4.0,W/m$\cdot$K,400,K
