,likely_mpid,expt_gap,formula
0,,0.0,Ag(AuS)2
1,mp-29717,0.0,Ag(W3Br7)2
2,,1.83,Ag0.5Ge1Pb1.75S4
3,,1.51,Ag0.5Ge1Pb1.75Se4
4,,0.0,Ag2BBr
5,mp-23558,0.0,Ag2BiO3
6,mp-9900,1.98,Ag2GeS3
7,,0.9,Ag2GeSe3
8,mp-23485,2.47,Ag2HgI4
9,mp-1203404,3.06,Ag2Mo(I2O7)2
10,mp-557644,0.0,Ag2P2PbO7
11,mp-5495,0.18,Ag2PdO2
12,mp-5408,0.0,Ag3AsO4
13,,0.0,Ag3Pd
14,mp-510453,0.0,Ag3RuO4
15,mp-554648,1.4,Ag5IO6
16,,0.0,Ag7(SI)2
17,mp-15077,1.0,Ag7AsS6
18,,1.0,Ag7AsSe6
19,,0.0,Ag7NO11
20,mp-9770,1.18,Ag8GeS6
21,mp-17984,0.71,Ag8SnSe6
22,,0.0,Ag9(PbO3)4
23,mp-561034,0.0,Ag9Ge2IO8
24,mp-4483,1.4,AgAsSe2
25,,0.0,AgAu3
26,mp-556434,1.7,AgBi(PS3)2
27,mp-569126,1.4,AgBi(PSe3)2
28,,1.2,AgBiPbS3
29,,0.13,AgBiPbSe3
30,mp-29678,0.9,AgBiS2
31,mp-27916,0.34,AgBiSe2
32,mp-23231,2.52,AgBr
33,mp-6781,0.0,AgCNO
34,mp-22922,5.13,AgCl
35,mp-7592,2.8,AgF
36,,0.0,AgGeO3
37,mp-499,1.57,AgO
38,mp-1195243,1.47,AgP15
39,mp-1193499,1.5,AgPd(IO3)3
40,,0.0,AgPdO2
41,mp-30353,0.0,AgPt3
42,mp-1006372,0.18,AgSO4
43,,0.8,AgTe2As
44,mp-505473,0.0,Al(Ni10B7)2
45,,0.0,Al(NiS2)2
46,,1.6,Al0.01Cd0.99Sb0.01Te0.99
47,,2.27,Al0.01Ga0.99P1
48,,1.3,Al0.01In0.99P1
49,,1.37,Al0.05Cd0.95Sb0.05Te0.95
50,,1.6,Al0.15Ga0.85As1
51,,1.36,Al0.1Cd0.9Sb0.1Te0.9
52,,1.5,Al0.1In0.9P1
53,,2.3,Al0.2Ga0.8P1
54,,1.7,Al0.2In0.8P1
55,,2.0,Al0.35Ga0.65As1
56,,1.81,Al0.3Ga0.7As1
57,,1.9,Al0.3In0.7P1
58,,1.93,Al0.45Cd0.55Sb0.45Te0.55
59,,1.8,Al0.4Cd0.6Sb0.4Te0.6
60,,2.35,Al0.4Ga0.6P1
61,,2.12,Al0.4In0.6P1
62,,2.12,Al0.5Ga0.5As1
63,,2.3,Al0.6Ga0.4As1
