,formula,gfa
0,Al100Ca0,0
1,Al99Ca1,0
2,Al98Ca2,0
3,Al97Ca3,0
4,Al96Ca4,0
5,Al95Ca5,0
6,Al94Ca6,0
7,Al93Ca7,0
8,Al92Ca8,0
9,Al91Ca9,1
10,Al90Ca10,1
11,Al89Ca11,1
12,Al88Ca12,0
13,Al87Ca13,0
14,Al86Ca14,0
15,Al85Ca15,0
16,Al84Ca16,0
17,Al83Ca17,0
18,Al82Ca18,0
19,Al81Ca19,0
20,Al80Ca20,0
21,Al79Ca21,0
22,Al78Ca22,0
23,Al77Ca23,0
24,Al76Ca24,0
25,Al75Ca25,0
26,Al74Ca26,0
27,Al73Ca27,0
28,Al72Ca28,0
29,Al71Ca29,0
30,Al70Ca30,0
31,Al69Ca31,0
32,Al68Ca32,0
33,Al67Ca33,0
34,Al66Ca34,0
35,Al65Ca35,0
36,Al64Ca36,0
37,Al63Ca37,0
38,Al62Ca38,0
39,Al61Ca39,0
40,Al60Ca40,0
41,Al59Ca41,0
42,Al58Ca42,0
43,Al57Ca43,0
44,Al56Ca44,0
45,Al55Ca45,0
46,Al54Ca46,0
47,Al53Ca47,0
48,Al52Ca48,0
49,Al51Ca49,0
50,Al50Ca50,0
51,Al49Ca51,0
52,Al48Ca52,0
53,Al47Ca53,0
54,Al46Ca54,0
55,Al45Ca55,0
56,Al44Ca56,0
57,Al43Ca57,0
58,Al42Ca58,0
59,Al41Ca59,0
60,Al40Ca60,0
61,Al39Ca61,0
62,Al38Ca62,0
63,Al37Ca63,0
64,Al36Ca64,0
65,Al35Ca65,0
66,Al34Ca66,0
67,Al33Ca67,0
68,Al32Ca68,0
69,Al31Ca69,0
70,Al30Ca70,0
71,Al29Ca71,0
72,Al28Ca72,0
73,Al27Ca73,0
74,Al26Ca74,0
75,Al25Ca75,0
76,Al24Ca76,0
77,Al23Ca77,0
78,Al22Ca78,0
79,Al21Ca79,0
80,Al20Ca80,0
81,Al19Ca81,0
82,Al18Ca82,0
83,Al17Ca83,0
84,Al16Ca84,0
85,Al15Ca85,0
86,Al14Ca86,0
87,Al13Ca87,0
88,Al12Ca88,0
89,Al11Ca89,0
90,Al10Ca90,0
91,Al9Ca91,0
92,Al8Ca92,0
93,Al7Ca93,0
94,Al6Ca94,0
95,Al5Ca95,0
96,Al4Ca96,0
97,Al3Ca97,0
98,Al2Ca98,0
99,Al1Ca99,0
100,Al0Ca100,0
101,Al100Ca0,0
102,Al99Ca1,0
103,Al98Ca2,0
104,Al97Ca3,0
105,Al96Ca4,0
106,Al95Ca5,0
107,Al94Ca6,0
108,Al93Ca7,0
109,Al92Ca8,0
110,Al91Ca9,0
111,Al90Ca10,0
112,Al89Ca11,0
113,Al88Ca12,0
114,Al87Ca13,0
115,Al86Ca14,0
116,Al85Ca15,0
117,Al84Ca16,0
118,Al83Ca17,0
119,Al82Ca18,0
120,Al81Ca19,0
121,Al80Ca20,0
122,Al79Ca21,0
123,Al78Ca22,0
124,Al77Ca23,0
125,Al76Ca24,0
126,Al75Ca25,0
127,Al74Ca26,0
128,Al73Ca27,0
129,Al72Ca28,0
130,Al71Ca29,0
131,Al70Ca30,0
132,Al69Ca31,0
133,Al68Ca32,0
134,Al67Ca33,0
135,Al66Ca34,0
136,Al65Ca35,0
137,Al64Ca36,0
138,Al63Ca37,0
139,Al62Ca38,0
140,Al61Ca39,0
141,Al60Ca40,0
142,Al59Ca41,0
143,Al58Ca42,0
144,Al57Ca43,0
145,Al56Ca44,0
146,Al55Ca45,0
147,Al54Ca46,0
148,Al53Ca47,0
149,Al52Ca48,0
150,Al51Ca49,0
151,Al50Ca50,0
152,Al49Ca51,0
153,Al48Ca52,0
154,Al47Ca53,0
155,Al46Ca54,0
156,Al45Ca55,1
157,Al44Ca56,1
158,Al43Ca57,1
159,Al42Ca58,1
160,Al41Ca59,1
161,Al40Ca60,1
162,Al39Ca61,1
163,Al38Ca62,1
164,Al37Ca63,1
165,Al36Ca64,1
166,Al35Ca65,1
167,Al34Ca66,1
168,Al33Ca67,1
169,Al32Ca68,1
170,Al31Ca69,1
171,Al30Ca70,1
172,Al29Ca71,1
173,Al28Ca72,1
174,Al27Ca73,1
175,Al26Ca74,1
176,Al25Ca75,1
177,Al24Ca76,1
178,Al23Ca77,1
179,Al22Ca78,1
180,Al21Ca79,1
181,Al20Ca80,1
182,Al19Ca81,1
183,Al18Ca82,1
184,Al17Ca83,1
185,Al16Ca84,1
186,Al15Ca85,1
187,Al14Ca86,0
188,Al13Ca87,0
189,Al12Ca88,0
190,Al11Ca89,0
191,Al10Ca90,0
192,Al9Ca91,0
193,Al8Ca92,0
194,Al7Ca93,0
195,Al6Ca94,0
196,Al5Ca95,0
197,Al4Ca96,0
198,Al3Ca97,0
199,Al2Ca98,0
200,Al1Ca99,0
201,Al0Ca100,0
202,Al100Ce0,0
203,Al99Ce1,0
204,Al98Ce2,0
205,Al97Ce3,0
206,Al96Ce4,0
207,Al95Ce5,0
208,Al94Ce6,0
209,Al93Ce7,1
210,Al92Ce8,1
211,Al91Ce9,1
212,Al90Ce10,1
213,Al89Ce11,1
214,Al88Ce12,1
215,Al87Ce13,0
216,Al86Ce14,0
217,Al85Ce15,0
218,Al84Ce16,0
219,Al83Ce17,0
220,Al82Ce18,0
221,Al81Ce19,0
222,Al80Ce20,0
223,Al79Ce21,0
224,Al78Ce22,0
225,Al77Ce23,0
226,Al76Ce24,0
227,Al75Ce25,0
228,Al74Ce26,0
229,Al73Ce27,0
230,Al72Ce28,0
231,Al71Ce29,0
232,Al70Ce30,0
233,Al69Ce31,0
234,Al68Ce32,0
235,Al67Ce33,0
236,Al66Ce34,0
237,Al65Ce35,0
238,Al64Ce36,0
239,Al63Ce37,0
240,Al62Ce38,0
241,Al61Ce39,0
242,Al60Ce40,0
243,Al59Ce41,0
244,Al58Ce42,0
245,Al57Ce43,0
246,Al56Ce44,0
247,Al55Ce45,0
248,Al54Ce46,0
249,Al53Ce47,0
250,Al52Ce48,0
251,Al51Ce49,0
252,Al50Ce50,0
253,Al49Ce51,0
254,Al48Ce52,0
255,Al47Ce53,0
256,Al46Ce54,0
257,Al45Ce55,0
258,Al44Ce56,0
259,Al43Ce57,0
260,Al42Ce58,0
261,Al41Ce59,0
262,Al40Ce60,0
263,Al39Ce61,0
264,Al38Ce62,0
265,Al37Ce63,0
266,Al36Ce64,0
267,Al35Ce65,0
268,Al34Ce66,0
269,Al33Ce67,0
270,Al32Ce68,0
271,Al31Ce69,0
