,formula,phase,processing,gfa
0,Ag20Al25La55,AM,meltspin,1
1,Ag15Al10Mg75,AM,meltspin,1
2,Ag25Al10Mg65,AM,meltspin,1
3,Ag25Al20Mg55,AM,meltspin,1
4,Ag35Al10Mg55,AM,meltspin,1
5,Ag35Al20Mg45,AM,meltspin,1
6,Ag45Al20Mg35,AM,meltspin,1
7,Ag10Ce6Cu84,AM,meltspin,1
8,Ag10Ce10Cu80,AM,meltspin,1
9,Ag15Ce6Cu79,AM,meltspin,1
10,Ag20Ce6Cu74,AM,meltspin,1
11,Ag20Ce10Cu70,AM,meltspin,1
12,Ag25Ce6Cu69,AM,meltspin,1
13,Ag30Ce6Cu64,AM,meltspin,1
14,Ag30Ce10Cu60,AM,meltspin,1
15,Ag35Ce4Cu61,AM,meltspin,1
16,Ag35Ce5Cu60,AM,meltspin,1
17,Ag35Ce6Cu59,AM,meltspin,1
18,Ag40Ce3Cu57,AM,meltspin,1
19,Ag40Ce4Cu56,AM,meltspin,1
20,Ag40Ce5Cu55,AM,meltspin,1
21,Ag40Ce8Cu52,AM,meltspin,1
22,Ag40Ce10Cu50,AM,meltspin,1
23,Ag45Ce3Cu52,AM,meltspin,1
24,Ag45Ce4Cu51,AM,meltspin,1
25,Ag45Ce5Cu50,AM,meltspin,1
26,Ag50Ce3Cu47,AM,meltspin,1
27,Ag50Ce4Cu46,AM,meltspin,1
28,Ag50Ce5Cu45,AM,meltspin,1
29,Ag50Ce10Cu40,AM,meltspin,1
30,Ag55Ce5Cu40,AM,meltspin,1
31,Ag55Ce6Cu39,AM,meltspin,1
32,Ag55Ce8Cu37,AM,meltspin,1
33,Ag6Ce8Cu86,AC,meltspin,0
34,Ag20Ce5Cu75,AC,meltspin,0
35,Ag30Ce5Cu65,AC,meltspin,0
36,Ag35Ce3Cu62,AC,meltspin,0
37,Ag45Ce2Cu53,AC,meltspin,0
38,Ag50Ce2Cu48,AC,meltspin,0
39,Ag60Ce5Cu35,AC,meltspin,0
40,Ag60Ce10Cu30,AC,meltspin,0
41,Ag5Ce5Cu90,CR,meltspin,0
42,Ag5Ce6Cu89,CR,meltspin,0
43,Ag5Ce8Cu87,CR,meltspin,0
44,Ag10Ce3Cu87,CR,meltspin,0
45,Ag10Ce5Cu85,CR,meltspin,0
46,Ag10Ce6Cu84,CR,meltspin,0
47,Ag15Ce4Cu81,CR,meltspin,0
48,Ag20Ce3Cu77,CR,meltspin,0
49,Ag20Ce4Cu76,CR,meltspin,0
50,Ag30Ce3Cu67,CR,meltspin,0
51,Ag40Ce1Cu59,CR,meltspin,0
52,Ag40Ce2Cu58,CR,meltspin,0
53,Ag60Ce3Cu37,CR,meltspin,0
54,Ag70Ce5Cu25,CR,meltspin,0
55,Ag70Ce10Cu20,CR,meltspin,0
56,Ag37.5Cu37.5Ge25,AM,meltspin,1
57,Ag38.75Cu38.75Ge22.5,AM,meltspin,1
58,Ag40Cu40Ge20,AM,meltspin,1
59,Ag35Cu35Mg30,AM,meltspin,1
60,Ag7.1Cu85.2P7.7,AM,meltspin,1
61,Ag7.5Cu85.5P7,AM,meltspin,1
62,Ag8.9Cu83.5P7.6,AM,meltspin,1
63,Ag9Cu82.8P8.2,AM,meltspin,1
64,Ag9Cu84P7,AM,meltspin,1
65,Ag10.5Cu81.5P8,AM,meltspin,1
66,Ag10.5Cu81.9P7.6,AM,meltspin,1
67,Ag10.5Cu82.5P7,AM,meltspin,1
68,Ag12.2Cu80.3P7.5,AM,meltspin,1
69,Ag12.2Cu80.8P7,AM,meltspin,1
70,Ag7Cu84.5P8.5,AC,meltspin,0
71,Ag7.5Cu86P6.5,AC,meltspin,0
72,Ag9Cu84.5P6.5,AC,meltspin,0
73,Ag10.5Cu80.5P9,AC,meltspin,0
74,Ag12.2Cu81.5P6.3,AC,meltspin,0
75,Ag14Cu78.5P7.5,AC,meltspin,0
76,Ag5.5Cu87P7.5,CR,meltspin,0
77,Ag9Cu82.5P8.5,CR,meltspin,0
78,Ag9Cu85P6,CR,meltspin,0
79,Ag0Mg84Y16,AM,meltspin,1
80,Ag5Mg80Y15,AM,meltspin,1
81,Ag10Mg60Y30,AM,meltspin,1
82,Ag10Mg70Y20,AM,meltspin,1
83,Ag10Mg80Y10,AM,meltspin,1
84,Ag15Mg80Y5,AM,meltspin,1
85,Ag20Mg30Y50,AM,meltspin,1
86,Ag20Mg40Y40,AM,meltspin,1
87,Ag20Mg50Y30,AM,meltspin,1
88,Ag20Mg60Y20,AM,meltspin,1
89,Ag20Mg70Y10,AM,meltspin,1
90,Ag25Mg60Y15,AM,meltspin,1
91,Ag25Mg65Y10,AM,meltspin,1
92,Ag25Mg70Y5,AM,meltspin,1
93,Ag30Mg30Y40,AM,meltspin,1
94,Ag30Mg40Y30,AM,meltspin,1
95,Ag30Mg50Y20,AM,meltspin,1
96,Ag30Mg55Y15,AM,meltspin,1
97,Ag30Mg60Y10,AM,meltspin,1
98,Ag40Mg30Y30,AM,meltspin,1
99,Ag40Mg40Y20,AM,meltspin,1
100,Ag40Mg50Y10,AM,meltspin,1
101,Ag50Mg30Y20,AM,meltspin,1
102,Ag0Mg80Y20,AC,meltspin,0
103,Ag0Mg87.5Y12.5,AC,meltspin,0
104,Ag5Mg85Y10,AC,meltspin,0
105,Ag10Mg50Y40,AC,meltspin,0
106,Ag10Mg85Y5,AC,meltspin,0
107,Ag20Mg20Y60,AC,meltspin,0
108,Ag50Mg20Y30,AC,meltspin,0
109,Ag60Mg20Y20,AC,meltspin,0
110,Ag0Mg75Y25,CR,meltspin,0
111,Ag0Mg90Y10,CR,meltspin,0
112,Ag0Mg95Y5,CR,meltspin,0
113,Ag5Mg90Y5,CR,meltspin,0
114,Ag30Mg20Y50,CR,meltspin,0
115,Ag40Mg20Y40,CR,meltspin,0
116,Ag50Mg40Y10,CR,meltspin,0
117,Ag0Pd79Si21,AM,meltspin,1
118,Ag0Pd80Si20,AM,meltspin,1
119,Ag0Pd82Si18,AM,meltspin,1
120,Ag0Pd84Si16,AM,meltspin,1
121,Ag0Pd85Si15,AM,meltspin,1
122,Ag4.5Pd75.5Si20,AM,meltspin,1
123,Ag4.5Pd79Si16.5,AM,meltspin,1
124,Ag5Pd77Si18,AM,meltspin,1
125,Ag5Pd79Si16,AM,meltspin,1
126,Ag5.5Pd78Si16.5,AM,meltspin,1
127,Ag8.5Pd75Si16.5,AM,meltspin,1
128,Ag4Pd79.5Si16.5,AM,meltspin,1
129,Ag1.7Pd81.8Si16.5,AM,meltspin,1
130,Ag4.2Pd79.3Si16.5,AM,meltspin,1
131,Ag6.7Pd76.8Si16.5,AM,meltspin,1
132,Ag10Pd73.5Si16.5,AM,meltspin,1
133,Ag12.5Pd71Si16.5,AM,meltspin,1
134,Ag15Pd68.5Si16.5,AM,meltspin,1
135,Ag4.5Pd75.5Si20,AM,meltspin,1
136,Ag6Pd77.5Si16.5,AM,meltspin,1
137,Ag20.9Pd62.6Si16.5,CR,meltspin,0
138,Al25Au20La55,AM,meltspin,1
139,Al0B18Co82,AM,meltspin,1
140,Al0B22Co78,AM,meltspin,1
141,Al0B26Co74,AM,meltspin,1
142,Al0B30Co70,AM,meltspin,1
143,Al0B36Co64,AM,meltspin,1
144,Al0B38Co62,AM,meltspin,1
145,Al0B40Co60,AM,meltspin,1
146,Al4B18Co78,AM,meltspin,1
147,Al4B22Co74,AM,meltspin,1
148,Al4B26Co70,AM,meltspin,1
149,Al4B30Co66,AM,meltspin,1
150,Al4B34Co62,AM,meltspin,1
151,Al8B18Co74,AM,meltspin,1
152,Al8B22Co70,AM,meltspin,1
153,Al8B26Co66,AM,meltspin,1
154,Al8B30Co62,AM,meltspin,1
155,Al8B34Co58,AM,meltspin,1
156,Al12B18Co70,AM,meltspin,1
157,Al12B22Co66,AM,meltspin,1
158,Al12B26Co62,AM,meltspin,1
159,Al12B30Co58,AM,meltspin,1
160,Al12B34Co54,AM,meltspin,1
161,Al12B38Co50,AM,meltspin,1
162,Al16B14Co70,AM,meltspin,1
163,Al16B18Co66,AM,meltspin,1
164,Al16B22Co62,AM,meltspin,1
165,Al16B26Co58,AM,meltspin,1
166,Al16B30Co54,AM,meltspin,1
167,Al16B34Co50,AM,meltspin,1
168,Al20B26Co54,AM,meltspin,1
169,Al20B30Co50,AM,meltspin,1
170,Al20B34Co46,AM,meltspin,1
171,Al20B38Co42,AM,meltspin,1
172,Al24B26Co50,AM,meltspin,1
173,Al24B34Co42,AM,meltspin,1
174,Al24B40Co36,AM,meltspin,1
175,Al8B14Co78,AC,meltspin,0
176,Al12B14Co74,AC,meltspin,0
177,Al20B18Co62,AC,meltspin,0
178,Al20B22Co58,AC,meltspin,0
179,Al4B10Co86,CR,meltspin,0
180,Al4B14Co82,CR,meltspin,0
181,Al8B10Co82,CR,meltspin,0
182,Al12B6Co82,CR,meltspin,0
183,Al12B10Co78,CR,meltspin,0
184,Al16B10Co74,CR,meltspin,0
185,Al20B10Co70,CR,meltspin,0
186,Al20B14Co66,CR,meltspin,0
187,Al24B22Co54,CR,meltspin,0
188,Al0B13Fe87,AM,meltspin,1
189,Al0B18Fe82,AM,meltspin,1
190,Al0B22Fe78,AM,meltspin,1
191,Al4B14Fe82,AM,meltspin,1
192,Al4B18Fe78,AM,meltspin,1
193,Al4B22Fe74,AM,meltspin,1
194,Al8B14Fe78,AM,meltspin,1
195,Al8B18Fe74,AM,meltspin,1
196,Al8B22Fe70,AM,meltspin,1
197,Al12B14Fe74,AM,meltspin,1
198,Al12B22Fe66,AM,meltspin,1
199,Al16B14Fe70,AM,meltspin,1
200,Al16B18Fe66,AM,meltspin,1
201,Al16B22Fe62,AM,meltspin,1
202,Al16B26Fe58,AM,meltspin,1
203,Al20B14Fe66,AM,meltspin,1
204,Al20B18Fe62,AM,meltspin,1
205,Al20B26Fe54,AM,meltspin,1
206,Al20B30Fe50,AM,meltspin,1
207,Al20B34Fe46,AM,meltspin,1
208,Al4B10Fe86,CR,meltspin,0
209,Al8B10Fe82,CR,meltspin,0
210,Al12B6Fe82,CR,meltspin,0
211,Al12B10Fe78,CR,meltspin,0
212,Al16B10Fe74,CR,meltspin,0
213,Al0B18Ni82,AM,meltspin,1
214,Al0B30Ni70,AM,meltspin,1
215,Al0B34Ni66,AM,meltspin,1
216,Al0B38Ni62,AM,meltspin,1
217,Al0B40Ni60,AM,meltspin,1
218,Al0B42Ni58,AM,meltspin,1
219,Al4B18Ni78,AM,meltspin,1
220,Al4B22Ni74,AM,meltspin,1
221,Al4B26Ni70,AM,meltspin,1
222,Al4B30Ni66,AM,meltspin,1
223,Al4B34Ni62,AM,meltspin,1
224,Al4B38Ni58,AM,meltspin,1
225,Al4B42Ni54,AM,meltspin,1
226,Al8B18Ni74,AM,meltspin,1
227,Al8B22Ni70,AM,meltspin,1
228,Al8B26Ni66,AM,meltspin,1
229,Al8B30Ni62,AM,meltspin,1
230,Al8B34Ni58,AM,meltspin,1
231,Al8B38Ni54,AM,meltspin,1
232,Al8B42Ni50,AM,meltspin,1
233,Al12B18Ni70,AM,meltspin,1
234,Al12B22Ni66,AM,meltspin,1
235,Al12B26Ni62,AM,meltspin,1
236,Al12B30Ni58,AM,meltspin,1
237,Al12B34Ni54,AM,meltspin,1
238,Al16B18Ni66,AM,meltspin,1
239,Al16B22Ni62,AM,meltspin,1
240,Al16B26Ni58,AM,meltspin,1
241,Al16B30Ni54,AM,meltspin,1
242,Al16B34Ni50,AM,meltspin,1
243,Al16B38Ni46,AM,meltspin,1
244,Al20B18Ni62,AM,meltspin,1
245,Al20B22Ni58,AM,meltspin,1
246,Al20B26Ni54,AM,meltspin,1
247,Al20B30Ni50,AM,meltspin,1
248,Al20B34Ni46,AM,meltspin,1
249,Al20B40Ni40,AM,meltspin,1
250,Al24B26Ni50,AM,meltspin,1
251,Al12B14Ni74,AC,meltspin,0
252,Al24B14Ni62,AC,meltspin,0
253,Al24B18Ni58,AC,meltspin,0
254,Al24B22Ni54,AC,meltspin,0
255,Al28B22Ni50,AC,meltspin,0
256,Al0B22Ni78,CR,meltspin,0
257,Al0B26Ni74,CR,meltspin,0
258,Al16B14Ni70,CR,meltspin,0
259,Al20B14Ni66,CR,meltspin,0
260,Al28B30Ni42,CR,meltspin,0
261,Al85Ca10Co5,AM,meltspin,1
262,Al89Ca11Co0,AM,meltspin,1
263,Al90Ca10Co0,AM,meltspin,1
264,Al91Ca9Co0,AM,meltspin,1
265,Al85Ca10Cu5,AM,meltspin,1
266,Al89Ca11Cu0,AM,meltspin,1
267,Al90Ca10Cu0,AM,meltspin,1
268,Al91Ca9Cu0,AM,meltspin,1
269,Al87.5Ca7.5Fe5,AM,meltspin,1
270,Al90Ca7.5Fe2.5,AM,meltspin,1
271,Al85Ca10Fe5,AM,meltspin,1
272,Al89Ca11Fe0,AM,meltspin,1
273,Al90Ca10Fe0,AM,meltspin,1
274,Al91Ca9Fe0,AM,meltspin,1
275,Al85Ca10Fe5,AC,meltspin,0
276,Al87.5Ca10Fe2.5,AC,meltspin,0
277,Al90Ca10Fe0,AC,meltspin,0
278,Al92.5Ca2.5Fe5,CR,meltspin,0
279,Al92.5Ca7.5Fe0,CR,meltspin,0
280,Al90Ca5Fe5,CR,meltspin,0
281,Al10Ca60Ga30,AM,meltspin,1
282,Al20Ca60Ga20,AM,meltspin,1
283,Al30Ca60Ga10,AM,meltspin,1
284,Al40Ca60Ga0,AM,meltspin,1
285,Al15Ca70Mg15,AM,meltspin,1
286,Al22.5Ca70Mg7.5,AM,meltspin,1
287,Al30Ca70Mg0,AM,meltspin,1
288,Al85Ca10Mg5,AM,meltspin,1
289,Al89Ca11Mg0,AM,meltspin,1
290,Al90Ca10Mg0,AM,meltspin,1
291,Al91Ca9Mg0,AM,meltspin,1
292,Al20Ca10Mg70,AM,meltspin,1
293,Al85Ca10Ni5,AM,meltspin,1
294,Al87.5Ca7.5Ni5,AM,meltspin,1
295,Al90Ca7.5Ni2.5,AM,meltspin,1
296,Al85Ca10Ni5,AM,meltspin,1
297,Al89Ca11Ni0,AM,meltspin,1
298,Al90Ca10Ni0,AM,meltspin,1
299,Al91Ca9Ni0,AM,meltspin,1
300,Al87.5Ca10Ni2.5,AC,meltspin,0
301,Al90Ca10Ni0,AC,meltspin,0
302,Al90Ca0Ni10,CR,meltspin,0
303,Al92.5Ca2.5Ni5,CR,meltspin,0
304,Al92.5Ca7.5Ni0,CR,meltspin,0
305,Al80Ca10Ni10,CR,meltspin,0
306,Al85Ca5Ni10,CR,meltspin,0
307,Al87.5Ca2.5Ni10,CR,meltspin,0
308,Al88.75Ca1.25Ni10,CR,meltspin,0
309,Al90Ca5Ni5,CR,meltspin,0
310,Al85Ca10Zn5,AM,meltspin,1
311,Al89Ca11Zn0,AM,meltspin,1
312,Al90Ca10Zn0,AM,meltspin,1
313,Al91Ca9Zn0,AM,meltspin,1
314,Al80Ce5Co15,AM,meltspin,1
315,Al80Ce10Co10,AM,meltspin,1
316,Al83Ce5Co12,AM,meltspin,1
317,Al85Ce5Co10,AM,meltspin,1
318,Al85Ce10Co5,AM,meltspin,1
319,Al87Ce8Co5,AM,meltspin,1
320,Al88Ce2Co10,AM,meltspin,1
321,Al88Ce10Co2,AM,meltspin,1
322,Al90Ce3Co7,AM,meltspin,1
323,Al90Ce5Co5,AM,meltspin,1
324,Al90Ce10Co0,AM,meltspin,1
325,Al91Ce9Co0,AM,meltspin,1
326,Al92Ce8Co0,AM,meltspin,1
327,Al93Ce7Co0,AM,meltspin,1
328,Al88Ce12Co0,AC,meltspin,0
329,Al89Ce11Co0,AC,meltspin,0
330,Al75Ce5Co20,CR,meltspin,0
331,Al75Ce10Co15,CR,meltspin,0
332,Al75Ce15Co10,CR,meltspin,0
333,Al77Ce10Co13,CR,meltspin,0
334,Al80Ce15Co5,CR,meltspin,0
335,Al87Ce13Co0,CR,meltspin,0
336,Al90Ce0Co10,CR,meltspin,0
337,Al94Ce4Co2,CR,meltspin,0
338,Al94Ce6Co0,CR,meltspin,0
339,Al95Ce2Co3,CR,meltspin,0
340,Al85Ce10Cr5,AM,meltspin,1
341,Al87Ce10Cr3,AM,meltspin,1
342,Al90Ce10Cr0,AM,meltspin,1
343,Al91Ce9Cr0,AM,meltspin,1
344,Al92Ce8Cr0,AM,meltspin,1
345,Al93Ce7Cr0,AM,meltspin,1
346,Al88Ce12Cr0,AM,meltspin,1
347,Al89Ce8Cr3,AC,meltspin,0
348,Al89Ce11Cr0,AC,meltspin,0
349,Al80Ce10Cr10,AC,meltspin,0
350,Al80Ce15Cr5,CR,meltspin,0
351,Al83Ce10Cr7,CR,meltspin,0
352,Al87Ce8Cr5,CR,meltspin,0
353,Al87Ce13Cr0,CR,meltspin,0
354,Al94Ce6Cr0,CR,meltspin,0
355,Al93Ce2Cr5,CR,meltspin,0
356,Al94Ce2Cr4,CR,meltspin,0
357,Al75Ce10Cu15,AM,meltspin,1
358,Al80Ce5Cu15,AM,meltspin,1
359,Al80Ce10Cu10,AM,meltspin,1
360,Al83Ce7Cu10,AM,meltspin,1
361,Al85Ce5Cu10,AM,meltspin,1
362,Al85Ce10Cu5,AM,meltspin,1
363,Al87Ce8Cu5,AM,meltspin,1
364,Al88Ce10Cu2,AM,meltspin,1
365,Al90Ce10Cu0,AM,meltspin,1
366,Al91Ce9Cu0,AM,meltspin,1
367,Al92Ce8Cu0,AM,meltspin,1
368,Al93Ce7Cu0,AM,meltspin,1
369,Al6Ce10Cu84,AM,meltspin,1
370,Al8Ce8Cu84,AM,meltspin,1
371,Al8Ce10Cu82,AM,meltspin,1
372,Al10Ce8Cu82,AM,meltspin,1
373,Al12Ce8Cu80,AM,meltspin,1
374,Al88Ce5Cu7,AC,meltspin,0
375,Al88Ce12Cu0,AC,meltspin,0
376,Al89Ce11Cu0,AC,meltspin,0
377,Al90Ce5Cu5,AC,meltspin,0
378,Al2Ce8Cu90,AC,meltspin,0
379,Al2Ce10Cu88,AC,meltspin,0
380,Al4Ce8Cu88,AC,meltspin,0
381,Al4Ce10Cu86,AC,meltspin,0
382,Al6Ce6Cu88,AC,meltspin,0
383,Al6Ce8Cu86,AC,meltspin,0
384,Al8Ce6Cu86,AC,meltspin,0
385,Al10Ce4Cu86,AC,meltspin,0
386,Al10Ce6Cu84,AC,meltspin,0
387,Al70Ce10Cu20,CR,meltspin,0
388,Al70Ce15Cu15,CR,meltspin,0
389,Al75Ce5Cu20,CR,meltspin,0
390,Al75Ce15Cu10,CR,meltspin,0
391,Al80Ce15Cu5,CR,meltspin,0
392,Al83Ce2Cu15,CR,meltspin,0
393,Al87Ce13Cu0,CR,meltspin,0
394,Al88Ce2Cu10,CR,meltspin,0
395,Al94Ce6Cu0,CR,meltspin,0
396,Al2Ce6Cu92,CR,meltspin,0
397,Al4Ce4Cu92,CR,meltspin,0
398,Al6Ce4Cu90,CR,meltspin,0
399,Al10Ce2Cu88,CR,meltspin,0
400,Al10Ce10Cu80,CR,meltspin,0
401,Al12Ce6Cu82,CR,meltspin,0
402,Al12Ce10Cu78,CR,meltspin,0
403,Al14Ce6Cu80,CR,meltspin,0
404,Al14Ce8Cu78,CR,meltspin,0
405,Al14Ce10Cu76,CR,meltspin,0
406,Al80Ce10Fe10,AM,meltspin,1
407,Al83Ce7Fe10,AM,meltspin,1
408,Al85Ce5Fe10,AM,meltspin,1
409,Al85Ce10Fe5,AM,meltspin,1
410,Al87Ce8Fe5,AM,meltspin,1
411,Al88Ce2Fe10,AM,meltspin,1
412,Al88Ce10Fe2,AM,meltspin,1
413,Al90Ce3Fe7,AM,meltspin,1
414,Al90Ce10Fe0,AM,meltspin,1
415,Al91Ce9Fe0,AM,meltspin,1
416,Al92Ce8Fe0,AM,meltspin,1
417,Al93Ce7Fe0,AM,meltspin,1
418,Al90Ce5Fe5,AM,meltspin,1
419,Al75Ce15Fe10,AC,meltspin,0
420,Al88Ce12Fe0,AC,meltspin,0
421,Al89Ce11Fe0,AC,meltspin,0
422,Al75Ce10Fe15,CR,meltspin,0
423,Al80Ce15Fe5,CR,meltspin,0
424,Al84Ce2Fe14,CR,meltspin,0
425,Al87Ce13Fe0,CR,meltspin,0
426,Al89Ce1Fe10,CR,meltspin,0
427,Al94Ce2Fe4,CR,meltspin,0
428,Al94Ce4Fe2,CR,meltspin,0
429,Al94Ce6Fe0,CR,meltspin,0
430,Al94Ce2Fe4,CR,meltspin,0
431,Al85Ce10Mn5,AM,meltspin,1
432,Al86Ce10Mn4,AM,meltspin,1
433,Al88Ce10Mn2,AM,meltspin,1
434,Al90Ce10Mn0,AM,meltspin,1
435,Al91Ce9Mn0,AM,meltspin,1
436,Al92Ce8Mn0,AM,meltspin,1
437,Al93Ce7Mn0,AM,meltspin,1
438,Al83Ce10Mn7,AC,meltspin,0
439,Al87Ce8Mn5,AC,meltspin,0
440,Al88Ce12Mn0,AC,meltspin,0
441,Al89Ce6Mn5,AC,meltspin,0
442,Al89Ce11Mn0,AC,meltspin,0
443,Al80Ce10Mn10,CR,meltspin,0
444,Al85Ce5Mn10,CR,meltspin,0
445,Al87Ce13Mn0,CR,meltspin,0
446,Al88Ce2Mn10,CR,meltspin,0
447,Al94Ce6Mn0,CR,meltspin,0
448,Al93Ce2Mn5,CR,meltspin,0
449,Al94Ce2Mn4,CR,meltspin,0
450,Al80Ce10Nb10,AM,meltspin,1
451,Al83Ce7Nb10,AM,meltspin,1
452,Al85Ce10Nb5,AM,meltspin,1
453,Al87Ce8Nb5,AM,meltspin,1
454,Al88Ce10Nb2,AM,meltspin,1
455,Al90Ce8Nb2,AM,meltspin,1
456,Al90Ce10Nb0,AM,meltspin,1
457,Al91Ce9Nb0,AM,meltspin,1
458,Al92Ce6Nb2,AM,meltspin,1
459,Al92Ce8Nb0,AM,meltspin,1
460,Al93Ce7Nb0,AM,meltspin,1
461,Al77Ce10Nb13,AC,meltspin,0
462,Al88Ce12Nb0,AC,meltspin,0
463,Al89Ce11Nb0,AC,meltspin,0
464,Al75Ce15Nb10,CR,meltspin,0
465,Al80Ce15Nb5,CR,meltspin,0
466,Al85Ce5Nb10,CR,meltspin,0
467,Al87Ce13Nb0,CR,meltspin,0
468,Al90Ce5Nb5,CR,meltspin,0
469,Al94Ce6Nb0,CR,meltspin,0
470,Al60Ce10Ni30,AM,meltspin,1
471,Al65Ce5Ni30,AM,meltspin,1
472,Al70Ce10Ni20,AM,meltspin,1
