,composition,is_metal
0,Ag(AuS)2,True
1,Ag(W3Br7)2,True
2,Ag0.5Ge1Pb1.75S4,False
3,Ag0.5Ge1Pb1.75Se4,False
4,Ag2BBr,True
5,Ag2BiO3,True
6,Ag2GeS3,False
7,Ag2GeSe3,False
8,Ag2GeTe3,False
9,Ag2HgI4,False
10,Ag2Mo(I2O7)2,False
11,Ag2O,False
12,Ag2P2PbO7,True
13,Ag2PdO2,False
14,Ag2S,False
15,Ag2SnS3,False
16,Ag2SnSe3,False
17,Ag3AsO4,True
18,Ag3AsS3,False
19,Ag3AsSe3,False
20,Ag3Pd,True
21,Ag3RuO4,True
22,Ag3SbS3,False
23,Ag5IO6,False
24,Ag7(SI)2,True
25,Ag7AsS6,False
26,Ag7AsSe6,False
27,Ag7NO11,True
28,Ag8GeS6,False
29,Ag8SnSe6,False
30,Ag9(PbO3)4,True
31,Ag9Ge2IO8,True
32,AgAsS2,False
33,AgAsSe2,False
34,AgAu3,True
35,AgBi(PS3)2,False
36,AgBi(PSe3)2,False
37,AgBiPbS3,False
38,AgBiPbSe3,False
39,AgBiS2,False
40,AgBiSe2,False
41,AgBr,False
42,AgCNO,True
43,AgCl,False
44,AgF,False
45,AgGeO3,True
46,AgI,False
47,AgN3,False
48,AgO,False
49,AgP15,False
50,AgPd(IO3)3,False
51,AgPdO2,True
52,AgPt3,True
53,AgS,False
54,AgSO4,False
55,AgSbS2,False
56,AgSbSe2,False
57,AgSbTe2,False
58,AgTe,False
59,AgTe2As,False
60,Al(Ni10B7)2,True
61,Al(NiS2)2,True
62,Al0.01Cd0.99Sb0.01Te0.99,False
63,Al0.01Ga0.99P1,False
64,Al0.01In0.99P1,False
65,Al0.05Cd0.95Sb0.05Te0.95,False
66,Al0.15Ga0.85As1,False
67,Al0.1Cd0.9Sb0.1Te0.9,False
68,Al0.1In0.9P1,False
69,Al0.2Ga0.8P1,False
70,Al0.2In0.8P1,False
71,Al0.35Ga0.65As1,False
72,Al0.3Ga0.7As1,False
73,Al0.3In0.7P1,False
74,Al0.45Cd0.55Sb0.45Te0.55,False
75,Al0.4Cd0.6Sb0.4Te0.6,False
76,Al0.4Ga0.6P1,False
77,Al0.4In0.6P1,False
78,Al0.5Ga0.5As1,False
79,Al0.5In0.5P1,False
80,Al0.6Ga0.4As1,False
81,Al0.6Ga0.4P1,False
82,Al0.6In0.4P1,False
83,Al0.75Ga0.25As1,False
84,Al0.7In0.3P1,False
85,Al0.8Ga0.2P1,False
86,Al0.99Cd0.01Sb0.99Te0.01,False
87,Al0.99Ga0.01P1,False
88,Al0.99In0.01P1,False
89,Al10V,True
90,Al13Ru4,True
91,Al2(CuSe2)3,True
92,Al21Pt8,True
93,Al2CoIr,True
94,Al2Cr2O7,True
95,Al2CrS4,True
96,Al2Cu,True
97,Al2FeNi,True
98,Al2Ru,True
99,Al2S3,False
100,Al2Se3,False
101,Al2Te3,False
102,Al3Tc,True
103,Al4Cu2O7,True
104,Al4Cu9,True
105,Al5Rh2,True
106,Al6Fe,True
107,Al6Ru,True
108,Al6Tc,True
109,Al7(CN)3,True
110,Al9Co2,True
111,Al9Ir2,True
112,Al9Rh2,True
113,AlAgO2,False
114,AlAgS2,False
115,AlAgSe2,False
116,AlAgTe2,False
117,AlAs,True
118,AlB12,False
119,AlB2,True
120,AlBi,False
121,AlCoO3,True
122,AlCu3,True
123,AlCu7O12,True
124,AlCuS2,False
125,AlCuSe2,False
126,AlCuTe2,False
127,AlFe2Si,True
128,AlFe4(CuO4)3,True
129,AlIr,True
130,AlN,False
131,AlNi2,True
132,AlP,False
133,AlPd5I2,True
134,AlSb,False
135,AlSn,True
136,AlV(TeO4)2,False
137,AlVCo2,True
138,As2Ir,False
139,As2O3,False
140,As2Os,False
141,As2Pt,False
142,As2Rh,False
143,As2Ru,False
144,As2S3,False
145,As2S5,False
146,As2Se3,False
147,AsAu3,True
148,AsBr3,False
149,AsI3,False
150,AsOsS,False
151,AsP,False
152,AsPPd,False
153,AsPPt,False
154,AsPRu,False
155,AsPd3Pb2,True
156,AsRuS,False
157,AsS,False
158,AsS3,False
159,AsSI,False
160,AsSeBr,True
161,AsSeI,False
162,Au3S,True
163,AuBrO2,True
164,B2Mo(PbO2)6,False
165,B2O3,False
166,B2Se2O7,False
167,B3H2Pb2O7.5,False
168,B3Pb10Br3O13,False
169,B3Pb3NO10,False
170,B4C,False
171,B4H2Pb6O13,False
172,B4W,True
173,B5Mo2,True
174,B6As,False
175,B6P,False
176,BAs,False
177,BH(PbO2)2,False
178,BMo,True
179,BP,False
180,BPb2ClO3,False
181,BPb6BrO7,False
182,BPb7Br3O7,False
183,BRh2,True
184,BSb,False
185,BSbPbS4,False
186,BSe2Cl,True
187,BTe2As,True
188,Ba(AsPd)2,True
189,Ba(AsRh)2,True
190,Ba(BO2)2,False
191,Ba(BRh)2,True
192,Ba(FeS2)2,True
193,Ba(GaS2)2,False
194,Ba(GaSe2)2,False
195,Ba(InS2)2,False
196,Ba(InSe2)2,False
197,Ba(NiP2)2,True
198,Ba(PdO2)2,True
199,Ba(SnO2)4,True
200,Ba(ZnAs)2,False
201,Ba1.88Ta15O32,False
202,Ba12In4S19,False
203,Ba14Ir8(PdO11)3,True
204,Ba14Na8CaN6,True
205,Ba23Ga8(SbS19)2,False
206,Ba2B4H2O9,False
207,Ba2B6H4O13,False
208,Ba2B6O11,False
209,Ba2BiSbO6,True
210,Ba2CaOsO6,True
211,Ba2CaReO6,True
212,Ba2Cd(BO2)6,False
213,Ba2Ce2O5,True
214,Ba2CeInTe5,False
215,Ba2CoWO6,True
216,Ba2Cu5F14,True
217,Ba2CuWO6,True
218,Ba2DyCu3O7,True
219,Ba2DyGaSe5,False
220,Ba2DyGaTe5,False
221,Ba2DyInSe5,False
222,Ba2DyInTe5,False
223,Ba2ErGaSe5,False
224,Ba2ErGaTe5,False
225,Ba2ErInSe5,False
226,Ba2ErInTe5,False
227,Ba2FeMoO6,True
228,Ba2FeReO6,True
229,Ba2Ga8GeS16,False
230,Ba2Ga8SiS16,False
