,composition,crystallinity,synthesis,spacegroup,rho (ohm.cm),S [muV/K],PF [W/mK^2],zT,kappa [W/mK],sigma [S/cm],T [K],src
1,Ti0.99Nb0.01NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.001240099,-192.458,0.0029869,0.203822375,5.8617,806.39,400.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
2,Cu1.98Se,Polycrystalline,"Melted, vacuum",225.0,0.00325,201.5,0.0012493,1.230837438,1.015,307.69,1000.0,http://dx.doi.org/10.1038/nmat3280
3,Bi2Te3,Single crystal,Melted,166.0,0.00045,-174.0,0.006728,0.5025,4.016716418,2222.2,300.0,http://dx.doi.org/10.1201/9781420049718.ch19
4,Cr1.3Mo6S8,Polycrystalline,"Solid state reaction, vacuum",2.0,0.000693269,51.22,0.00037842,0.098456051,2.6905,1442.4,700.0,http://dx.doi.org/10.1007/s11664-009-0975-0
5,LaNiO3,Polycrystalline,"Evaporate nitrates (1173 K, air)",167.0,0.00460122,-25.76,1.4424e-05,,,217.33,700.0,http://dx.doi.org/10.1557/PROC-793-S3.3
6,Bi1.2S1.2Ti2S4,Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,0.000324,-41.3,0.00052645,0.053719136,2.94,3086.4,300.0,http://dx.doi.org/10.3390/ma3042606
7,Ba0.4Sr0.6PbO3,Polycrystalline,Solid state reaction (under oxygen),62.0,0.00412774,-82.77,0.00016597,0.021697095,2.2948,242.26,300.0,http://dx.doi.org/10.1023/A:1018515223271
8,SrTi0.8Nb0.2O3,Polycrystalline,"Solid state reaction, Ar",140.0,0.001420455,-62.4,0.00027412,0.012720218,8.62,704.0,400.0,http://dx.doi.org/10.1063/1.3117943
9,CaMn0.98Ru0.02O3,Polycrystalline,Solid state reaction,62.0,0.0241829,-195.78,0.00015851,,,41.352,700.0,http://dx.doi.org/10.1016/S0025-5408(02)00997-2
10,Mg2Si0.997Bi0.003,Polycrystalline,"Mechanochemical, Ar",225.0,0.000488,-76.6,0.0012024,0.058556925,6.16,2049.2,300.0,http://dx.doi.org/10.1039/C1JM10827A
11,Zn4Sb3,Polycrystalline,"Solid state reaction, Ar",167.0,0.0025094,160.988,0.0010328,0.550827792,0.75,398.5,400.0,http://dx.doi.org/10.1039/c0jm02011g
12,W0.95O2.95Co0.1O0.15,Polycrystalline,Solid state reaction,2.0,15.89233894,125.61,9.928e-08,,,0.062923,1000.0,http://dx.doi.org/10.1007/s10854-011-0574-8
13,Tl0.01Pb0.99Te,Polycrystalline,Melted,225.0,0.00354545,201.46,0.0011447,0.295085853,1.55169,282.05,400.0,http://dx.doi.org/10.1126/science.1159725
14,KBi6.33S10,Polycrystalline,"Solid state reaction, vacuum",62.0,0.165,-25.0,3.7879e-07,8.74126e-05,1.3,6.0606,300.0,http://dx.doi.org/10.1002/chin.199644003
